Timestamp;Power
1726735703;3.431
1726735704;4.182
1726735705;4.398
1726735706;3.606
1726735707;3.625
1726735708;3.596
1726735709;3.736
1726735710;3.947
1726735711;3.960
1726735712;3.767
1726735713;3.488
1726735714;3.555
1726735715;3.505
1726735716;4.236
1726735717;4.252
1726735718;3.998
1726735719;3.745
1726735720;4.285
1726735721;3.995
1726735722;3.771
1726735723;3.801
1726735724;3.785
1726735725;3.747
1726735726;3.742
1726735727;4.212
1726735728;4.283
1726735729;4.292
1726735730;4.114
1726735731;4.097
1726735732;4.795
1726735733;4.835
1726735734;4.735
1726735735;4.696
1726735736;4.879
1726735737;4.456
1726735738;4.723
1726735739;4.670
1726735740;4.434
1726735741;4.294
1726735742;4.244
1726735743;4.214
1726735744;5.037
1726735745;5.067
1726735746;5.046
1726735747;5.113
1726735748;4.891
1726735749;5.101
1726735750;5.117
1726735751;5.005
1726735752;4.572
1726735753;4.434
1726735754;4.308
1726735755;5.116
1726735756;5.456
1726735757;5.413
1726735758;5.507
1726735759;5.493
1726735760;5.425
1726735761;5.366
1726735762;5.288
1726735763;5.456
1726735764;5.015
1726735765;4.355
1726735766;4.439
1726735767;5.549
1726735768;5.893
1726735769;5.895
1726735770;5.897
1726735771;5.891
1726735772;5.844
1726735773;5.844
1726735774;5.815
1726735775;5.873
1726735776;5.319
1726735777;4.479
1726735778;4.555
1726735779;5.472
1726735780;6.307
1726735781;6.347
1726735782;6.181
1726735783;6.322
1726735784;6.368
1726735785;6.188
1726735786;6.114
1726735787;6.133
1726735788;5.660
1726735789;4.516
1726735790;4.640
1726735791;5.678
1726735792;6.666
1726735793;6.447
1726735794;6.423
1726735795;6.466
1726735796;6.267
1726735797;6.212
1726735798;6.294
1726735799;6.159
1726735800;5.946
1726735801;4.425
1726735802;4.460
1726735803;5.665
1726735804;6.729
1726735805;6.605
1726735806;6.479
1726735807;6.416
1726735808;6.227
1726735809;6.137
1726735810;6.170
1726735811;6.320
1726735812;6.021
1726735813;4.406
1726735814;4.351
1726735815;5.259
1726735816;6.756
1726735817;6.752
1726735818;6.289
1726735819;6.237
1726735820;6.076
1726735821;5.932
1726735822;6.266
1726735823;6.315
1726735824;5.954
1726735825;4.668
