Timestamp;Power
1725533154;3.027
1725533155;3.053
1725533156;3.081
1725533157;2.705
1725533158;2.919
1725533159;3.117
1725533160;3.057
1725533161;2.951
1725533162;2.964
1725533163;2.977
1725533164;2.875
1725533165;2.683
1725533166;2.713
1725533167;2.681
1725533168;2.687
1725533169;2.701
1725533170;2.894
1725533171;2.911
1725533172;2.829
1725533173;2.971
1725533174;3.064
1725533175;3.202
1725533176;3.305
1725533177;3.238
1725533178;2.957
1725533179;3.086
1725533180;2.959
1725533181;2.905
1725533182;2.961
1725533183;2.946
1725533184;2.951
1725533185;2.964
1725533186;2.894
1725533187;2.684
1725533188;2.700
1725533189;2.934
1725533190;2.945
1725533191;2.677
1725533192;2.665
1725533193;2.686
1725533194;2.663
1725533195;2.672
1725533196;2.702
1725533197;2.665
1725533198;2.660
1725533199;2.684
1725533200;2.696
1725533201;2.669
1725533202;2.687
1725533203;2.671
1725533204;2.677
1725533205;2.659
1725533206;2.664
1725533207;2.681
1725533208;2.667
1725533209;2.659
1725533210;2.749
1725533211;2.866
1725533212;2.862
1725533213;2.882
1725533214;3.607
1725533215;3.569
1725533216;2.927
1725533217;2.935
1725533218;2.909
1725533219;2.661
1725533220;2.674
1725533221;2.685
1725533222;2.871
1725533223;3.269
1725533224;4.016
1725533225;3.809
1725533226;3.282
1725533227;3.241
1725533228;3.274
1725533229;3.074
1725533230;3.068
1725533231;3.398
1725533232;3.285
1725533233;3.539
1725533234;3.280
1725533235;3.220
1725533236;4.318
1725533237;4.290
1725533238;3.833
1725533239;4.198
1725533240;4.733
1725533241;4.499
1725533242;4.973
1725533243;4.302
1725533244;3.887
1725533245;4.472
1725533246;5.108
