Timestamp;Power
1725532195;2.554
1725532196;2.622
1725532197;2.615
1725532198;2.653
1725532199;3.050
1725532200;3.051
1725532201;2.782
1725532202;2.802
1725532203;2.782
1725532204;2.712
1725532205;2.546
1725532206;2.534
1725532207;2.535
1725532208;2.532
1725532209;2.526
1725532210;2.528
1725532211;2.515
1725532212;2.826
1725532213;2.850
1725532214;3.173
1725532215;3.072
1725532216;3.022
1725532217;3.017
1725532218;2.826
1725532219;3.127
1725532220;2.884
1725532221;2.891
1725532222;2.927
1725532223;2.884
1725532224;2.715
1725532225;2.621
1725532226;2.620
1725532227;2.641
1725532228;2.629
1725532229;2.875
1725532230;2.888
1725532231;2.609
1725532232;2.633
1725532233;2.610
1725532234;2.912
1725532235;2.874
1725532236;2.856
1725532237;2.878
1725532238;2.950
1725532239;2.709
1725532240;2.681
1725532241;2.728
1725532242;2.926
1725532243;2.912
1725532244;2.684
1725532245;2.678
1725532246;2.687
1725532247;2.662
1725532248;2.641
1725532249;2.838
1725532250;2.872
1725532251;2.783
1725532252;2.660
1725532253;2.651
1725532254;2.649
1725532255;2.669
1725532256;2.646
1725532257;2.666
1725532258;2.657
1725532259;2.654
1725532260;2.671
1725532261;2.728
1725532262;2.909
1725532263;2.848
1725532264;2.663
1725532265;2.692
1725532266;2.697
1725532267;2.667
1725532268;2.690
1725532269;2.689
1725532270;2.680
1725532271;2.700
1725532272;2.869
1725532273;2.952
1725532274;2.949
1725532275;2.953
1725532276;2.896
1725532277;2.885
1725532278;2.671
1725532279;2.694
1725532280;2.684
